accident_id,county_name,day,month,year,hour,minute,latitude,longitud,sp_jur_lit,man_coll_lit,lgt_cond_lit,weather_lit,fatals,day_part
2012040001,PIMA,1,1,2012,2.0,13.0,32.18285833,-111.16517778,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Not Lighted,Clear,1,Night
2012040002,YAVAPAI,1,1,2012,16.0,33.0,34.75831667,-112.05859444,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Daylight,Cloudy,1,Afternoon
2012040003,MARICOPA,1,1,2012,18.0,4.0,33.50790833,-112.20758056,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,1,Afternoon
2012040004,MARICOPA,1,1,2012,20.0,3.0,33.35022222,-111.73836667,No Special Jurisdiction,Angle,Dark - Lighted,Clear,1,Night
2012040005,PIMA,4,1,2012,0.0,17.0,31.90023889,-110.66463333,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Not Lighted,Clear,1,Night
2012040006,MARICOPA,4,1,2012,9.0,46.0,33.39298889,-111.86569722,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1,Morning
2012040007,MARICOPA,4,1,2012,21.0,54.0,33.66890278,-112.0489,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,1,Night
2012040008,NAVAJO,5,1,2012,18.0,17.0,33.84031944,-109.96426667,Indian Reservation,Not a Collision with Motor Vehicle In-Transport,Dark - Not Lighted,Clear,1,Afternoon
2012040009,SANTA CRUZ,6,1,2012,14.0,54.0,31.45153333,-110.97501667,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1,Afternoon
2012040010,YAVAPAI,6,1,2012,17.0,24.0,34.78898611,-111.91963333,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1,Afternoon
2012040011,MARICOPA,7,1,2012,23.0,49.0,33.668925,-112.112625,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,1,Night
2012040012,MARICOPA,9,1,2012,9.0,52.0,33.35425278,-111.89386389,No Special Jurisdiction,Front-to-Rear,Daylight,Clear,1,Morning
2012040013,MARICOPA,9,1,2012,15.0,10.0,33.36423333,-111.85149722,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1,Afternoon
2012040014,GRAHAM,9,1,2012,20.0,11.0,32.81645833,-109.70763056,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Not Lighted,Clear,1,Night
2012040015,YAVAPAI,10,1,2012,13.0,53.0,35.23548333,-113.21022778,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,2,Afternoon
